"","date","meantemp","order","transformed"
"1",2013-01-01,10,1,0.122270742374097
"2",2013-01-02,7.4,2,0.0427947598309338
"3",2013-01-03,7.166666667,3,0.0356622998693008
"4",2013-01-04,8.666666667,4,0.0815138282595869
"5",2013-01-05,6,5,0
"6",2013-01-06,7,6,0.0305676855935242
"7",2013-01-07,7,7,0.0305676855935242
"8",2013-01-08,8.857142857,8,0.0873362445485593
"9",2013-01-09,14,9,0.244541484748193
"10",2013-01-10,11,10,0.152838427967621
"11",2013-01-11,15.71428571,11,0.296943231348945
"12",2013-01-12,14,12,0.244541484748193
"13",2013-01-13,15.83333333,13,0.300582241567762
"14",2013-01-14,12.83333333,14,0.208879184787189
"15",2013-01-15,14.71428571,15,0.26637554575542
"16",2013-01-16,13.83333333,16,0.239446870380714
"17",2013-01-17,16.5,17,0.320960698732004
"18",2013-01-18,13.83333333,18,0.239446870380714
"19",2013-01-19,12.5,19,0.198689956357907
"20",2013-01-20,11.28571429,20,0.161572052553918
"21",2013-01-21,11.2,21,0.158951965086326
"22",2013-01-22,9.5,22,0.106986899577335
"23",2013-01-23,14,23,0.244541484748193
"24",2013-01-24,13.83333333,24,0.239446870380714
"25",2013-01-25,12.25,25,0.191048034959526
"26",2013-01-26,12.66666667,26,0.203784570725387
"27",2013-01-27,12.85714286,27,0.209606987014359
"28",2013-01-28,14.83333333,28,0.270014555974238
"29",2013-01-29,14.125,29,0.248362445447384
"30",2013-01-30,14.71428571,30,0.26637554575542
"31",2013-01-31,16.2,31,0.311790393053946
"32",2013-02-01,16,32,0.305676855935242
"33",2013-02-02,16.28571429,33,0.314410480521539
"34",2013-02-03,18,34,0.36681222712229
"35",2013-02-04,17.42857143,35,0.349344978255373
"36",2013-02-05,16.625,36,0.324781659431194
"37",2013-02-06,16.66666667,37,0.326055313099483
"38",2013-02-07,15.6,38,0.293449781697832
"39",2013-02-08,14,39,0.244541484748193
"40",2013-02-09,15.42857143,40,0.288209607068324
"41",2013-02-10,15.25,41,0.282751091740098
"42",2013-02-11,15.875,42,0.301855895236051
"43",2013-02-12,15.33333333,43,0.285298398771
"44",2013-02-13,16.28571429,44,0.314410480521539
"45",2013-02-14,17.33333333,45,0.346433769958048
"46",2013-02-15,19.16666667,46,0.402474527083294
"47",2013-02-16,14.42857143,47,0.2576419214748
"48",2013-02-17,13.66666667,48,0.234352256318911
"49",2013-02-18,15.6,49,0.293449781697832
"50",2013-02-19,15.85714286,50,0.301310043794931
"51",2013-02-20,17.71428571,51,0.358078602535993
"52",2013-02-21,20,52,0.427947598309338
"53",2013-02-22,20.5,53,0.4432314411061
"54",2013-02-23,17.42857143,54,0.349344978255373
"55",2013-02-24,16.85714286,55,0.331877729388456
"56",2013-02-25,16.875,56,0.332423580829575
"57",2013-02-26,17.85714286,57,0.36244541498198
"58",2013-02-27,20.8,58,0.452401746784157
"59",2013-02-28,19.42857143,59,0.410480349442421
"60",2013-03-01,17.33333333,60,0.346433769958048
"61",2013-03-02,19,61,0.397379912715814
"62",2013-03-03,19.33333333,62,0.407569141145096
"63",2013-03-04,17.6,63,0.35458515288488
"64",2013-03-05,20.875,64,0.454694323203672
"65",2013-03-06,20.85714286,65,0.454148471762552
"66",2013-03-07,23.42857143,66,0.532751091816518
"67",2013-03-08,24.16666667,67,0.555312955050914
"68",2013-03-09,25.42857143,68,0.593886463003566
"69",2013-03-10,23.14285714,69,0.524017467230221
"70",2013-03-11,24,70,0.550218340683435
"71",2013-03-12,23.5,71,0.534934497886673
"72",2013-03-13,21.5,72,0.473799126699624
"73",2013-03-14,22.33333333,73,0.499272197925669
"74",2013-03-15,24.16666667,74,0.555312955050914
"75",2013-03-16,20.33333333,75,0.438136826738621
"76",2013-03-17,22.66666667,76,0.509461426660628
"77",2013-03-18,23.42857143,77,0.532751091816518
"78",2013-03-19,22.5,78,0.504366812293149
"79",2013-03-20,29.16666667,79,0.708151383018535
"80",2013-03-21,23.83333333,80,0.545123726315955
"81",2013-03-22,25.25,81,0.58842794767534
"82",2013-03-23,27.375,82,0.653384279561579
"83",2013-03-24,27,83,0.641921397464007
"84",2013-03-25,23.5,84,0.534934497886673
"85",2013-03-26,24.14285714,85,0.554585152823745
"86",2013-03-27,21,86,0.458515283902862
"87",2013-03-28,22.42857143,87,0.502183406222994
"88",2013-03-29,21.25,88,0.466157205301243
"89",2013-03-30,23.5,89,0.534934497886673
"90",2013-03-31,23.2,90,0.525764192208615
"91",2013-04-01,25.375,91,0.59224890837453
"92",2013-04-02,25.16666667,92,0.585880640644439
"93",2013-04-03,26.2,93,0.617467248989188
"94",2013-04-04,24.6,94,0.568558952039549
"95",2013-04-05,25.6,95,0.599126637633073
"96",2013-04-06,25.85714286,96,0.606986899730173
"97",2013-04-07,29.14285714,97,0.707423580791366
"98",2013-04-08,28.71428571,98,0.694323144064758
"99",2013-04-09,30.16666667,99,0.738719068612059
"100",2013-04-10,30,100,0.73362445424458
"101",2013-04-11,30,101,0.73362445424458
"102",2013-04-12,28.85714286,102,0.698689956510745
"103",2013-04-13,30.2,103,0.739737991363284
"104",2013-04-14,28.25,104,0.680131004455912
"105",2013-04-15,28.25,105,0.680131004455912
"106",2013-04-16,32.125,106,0.798580786130819
"107",2013-04-17,29.2,107,0.70917030576976
"108",2013-04-18,30.28571429,108,0.742358078830877
"109",2013-04-19,28.28571429,109,0.681222707643828
"110",2013-04-20,30.625,110,0.752729257740532
"111",2013-04-21,27.66666667,111,0.662299854628249
"112",2013-04-22,27.375,112,0.653384279561579
"113",2013-04-23,28.625,113,0.691593886553484
"114",2013-04-24,30.28571429,114,0.742358078830877
"115",2013-04-25,31.14285714,115,0.768558951978414
"116",2013-04-26,29.875,116,0.729803493545389
"117",2013-04-27,31.14285714,117,0.768558951978414
"118",2013-04-28,30.57142857,118,0.751091703111497
"119",2013-04-29,32.125,119,0.798580786130819
"120",2013-04-30,31.14285714,120,0.768558951978414
"121",2013-05-01,31.85714286,121,0.790393013291318
"122",2013-05-02,29.83333333,122,0.7285298398771
"123",2013-05-03,28.57142857,123,0.689956331924448
"124",2013-05-04,32.85714286,124,0.820960698884842
"125",2013-05-05,32.625,125,0.813864628927581
"126",2013-05-06,32.75,126,0.817685589626771
"127",2013-05-07,32.875,127,0.821506550325962
"128",2013-05-08,34.5,128,0.871179039415438
"129",2013-05-09,34.28571429,129,0.864628821204973
"130",2013-05-10,34,130,0.855895196618676
"131",2013-05-11,30.75,131,0.756550218439723
"132",2013-05-12,29.85714286,132,0.72925764210427
"133",2013-05-13,31.71428571,133,0.786026200845331
"134",2013-05-14,32.28571429,134,0.803493450017925
"135",2013-05-15,33,135,0.825327511025152
"136",2013-05-16,33,136,0.825327511025152
"137",2013-05-17,32.83333333,137,0.820232896657673
"138",2013-05-18,31.4,138,0.776419214075513
"139",2013-05-19,35.33333333,139,0.896652110641483
"140",2013-05-20,36.4,140,0.929257642043134
"141",2013-05-21,36,141,0.917030567805725
"142",2013-05-22,36.75,142,0.939956332000868
"143",2013-05-23,37.5,143,0.962882096196011
"144",2013-05-24,38.42857143,144,0.99126637571938
"145",2013-05-25,38.71428571,145,1
"146",2013-05-26,37.8,146,0.972052401874068
"147",2013-05-27,35.85714286,147,0.912663755665415
"148",2013-05-28,35.33333333,148,0.896652110641483
"149",2013-05-29,34.14285714,149,0.860262008758986
"150",2013-05-30,32.2,150,0.800873362550333
"151",2013-05-31,33.625,151,0.844432314521105
"152",2013-06-01,32,152,0.794759825431628
"153",2013-06-02,32.4,153,0.806986899669038
"154",2013-06-03,35.6,154,0.904803493568315
"155",2013-06-04,35.85714286,155,0.912663755665415
"156",2013-06-05,37.16666667,156,0.952692867766728
"157",2013-06-06,31.28571429,157,0.772925764424401
"158",2013-06-07,34,158,0.855895196618676
"159",2013-06-08,34.2,159,0.862008733737381
"160",2013-06-09,36.16666667,160,0.922125182173204
"161",2013-06-10,36.625,161,0.936135371301677
"162",2013-06-11,30.16666667,162,0.738719068612059
"163",2013-06-12,34.14285714,163,0.860262008758986
